"","mobile_Name","Camere","Price"
"1","Apple iPhone 13","128GB, 256GB, 512GB Storage","
65,900
"
"2","Samsung Galaxy M13 5G","64GB, 128GB Storage / 4GB, 6GB RAM","
13,999
"
"3","Redmi A1","32 GB Storage / 2 GB RAM","
6,499
"
"4","Samsung Galaxy A04s","64GB Storage / 4GB RAM ","
12,499
"
"5","Realme C35","64GB, 128GB Storage / 4GB, 6GB RAM","
11,999
"
"6","Apple iPhone 14 Pro","128GB, 256GB, 512GB, 1TB Storage / 6GB RAM","
1,29,900
"
"7","OPPO A74 5G","128GB Storage / 6GB RAM ","
14,990
"
"8","Redmi Note 11 4G","64GB, 128GB storage / 4GB, 6GB RAM","
12,999
"
"9","Redmi 9A","32 GB / 2 GB RAM","
7,332
"
"10","iQOO Z6 5G","128GB Storage / 4GB, 6GB, 8GB RAM","
13,999
"
